Release_Date,Discipline,Qty
1/30/2026 12:00:00 AM,STRUCTURE,0
1/29/2026 12:00:00 AM,STRUCTURE,0
1/28/2026 12:00:00 AM,STRUCTURE,0
1/27/2026 12:00:00 AM,STRUCTURE,0
1/26/2026 12:00:00 AM,STRUCTURE,0
1/25/2026 12:00:00 AM,STRUCTURE,0
1/24/2026 12:00:00 AM,STRUCTURE,0
1/23/2026 12:00:00 AM,STRUCTURE,0
1/22/2026 12:00:00 AM,STRUCTURE,0
1/21/2026 12:00:00 AM,STRUCTURE,0
1/20/2026 12:00:00 AM,STRUCTURE,0
1/19/2026 12:00:00 AM,STRUCTURE,0
1/18/2026 12:00:00 AM,STRUCTURE,0
1/17/2026 12:00:00 AM,STRUCTURE,0
1/16/2026 12:00:00 AM,STRUCTURE,0
1/15/2026 12:00:00 AM,STRUCTURE,0
1/14/2026 12:00:00 AM,STRUCTURE,0
1/13/2026 12:00:00 AM,STRUCTURE,0
1/12/2026 12:00:00 AM,STRUCTURE,0
1/11/2026 12:00:00 AM,STRUCTURE,0
1/10/2026 12:00:00 AM,STRUCTURE,0
1/9/2026 12:00:00 AM,STRUCTURE,0
1/8/2026 12:00:00 AM,STRUCTURE,0
1/7/2026 12:00:00 AM,STRUCTURE,0
1/6/2026 12:00:00 AM,STRUCTURE,0
1/5/2026 12:00:00 AM,STRUCTURE,0
1/4/2026 12:00:00 AM,STRUCTURE,0
1/3/2026 12:00:00 AM,STRUCTURE,0
1/2/2026 12:00:00 AM,STRUCTURE,0
1/1/2026 12:00:00 AM,STRUCTURE,0
12/31/2025 12:00:00 AM,STRUCTURE,0
12/30/2025 12:00:00 AM,STRUCTURE,0
12/29/2025 12:00:00 AM,STRUCTURE,0
12/28/2025 12:00:00 AM,STRUCTURE,0
12/27/2025 12:00:00 AM,STRUCTURE,0
12/26/2025 12:00:00 AM,STRUCTURE,0
12/25/2025 12:00:00 AM,STRUCTURE,0
12/24/2025 12:00:00 AM,STRUCTURE,0
12/23/2025 12:00:00 AM,STRUCTURE,0
12/22/2025 12:00:00 AM,STRUCTURE,0
12/21/2025 12:00:00 AM,STRUCTURE,0
12/20/2025 12:00:00 AM,STRUCTURE,0
12/19/2025 12:00:00 AM,STRUCTURE,0
12/18/2025 12:00:00 AM,STRUCTURE,0
12/17/2025 12:00:00 AM,STRUCTURE,0
12/16/2025 12:00:00 AM,STRUCTURE,0
12/15/2025 12:00:00 AM,STRUCTURE,0
12/14/2025 12:00:00 AM,STRUCTURE,0
12/13/2025 12:00:00 AM,STRUCTURE,0
12/12/2025 12:00:00 AM,STRUCTURE,0
12/11/2025 12:00:00 AM,STRUCTURE,0
12/10/2025 12:00:00 AM,STRUCTURE,0
12/9/2025 12:00:00 AM,STRUCTURE,0
12/8/2025 12:00:00 AM,STRUCTURE,0
12/7/2025 12:00:00 AM,STRUCTURE,0
12/6/2025 12:00:00 AM,STRUCTURE,0
12/5/2025 12:00:00 AM,STRUCTURE,0
12/4/2025 12:00:00 AM,STRUCTURE,0
12/3/2025 12:00:00 AM,STRUCTURE,0
12/2/2025 12:00:00 AM,STRUCTURE,0
12/1/2025 12:00:00 AM,STRUCTURE,0
11/30/2025 12:00:00 AM,STRUCTURE,0
11/29/2025 12:00:00 AM,STRUCTURE,0
11/28/2025 12:00:00 AM,STRUCTURE,0
11/27/2025 12:00:00 AM,STRUCTURE,0
11/26/2025 12:00:00 AM,STRUCTURE,0
11/25/2025 12:00:00 AM,STRUCTURE,0
11/24/2025 12:00:00 AM,STRUCTURE,0
11/23/2025 12:00:00 AM,STRUCTURE,0
11/22/2025 12:00:00 AM,STRUCTURE,0
11/21/2025 12:00:00 AM,STRUCTURE,0
11/20/2025 12:00:00 AM,STRUCTURE,0
11/19/2025 12:00:00 AM,STRUCTURE,0
11/18/2025 12:00:00 AM,STRUCTURE,0
11/17/2025 12:00:00 AM,STRUCTURE,0
11/16/2025 12:00:00 AM,STRUCTURE,0
11/15/2025 12:00:00 AM,STRUCTURE,0
11/14/2025 12:00:00 AM,STRUCTURE,0
11/13/2025 12:00:00 AM,STRUCTURE,0
11/12/2025 12:00:00 AM,STRUCTURE,0
11/11/2025 12:00:00 AM,STRUCTURE,0
11/10/2025 12:00:00 AM,STRUCTURE,0
11/9/2025 12:00:00 AM,STRUCTURE,0
11/8/2025 12:00:00 AM,STRUCTURE,0
11/7/2025 12:00:00 AM,STRUCTURE,0
11/6/2025 12:00:00 AM,STRUCTURE,0
11/5/2025 12:00:00 AM,STRUCTURE,0
11/4/2025 12:00:00 AM,STRUCTURE,0
11/3/2025 12:00:00 AM,STRUCTURE,0
11/2/2025 12:00:00 AM,STRUCTURE,0
11/1/2025 12:00:00 AM,STRUCTURE,0
10/31/2025 12:00:00 AM,STRUCTURE,0
10/30/2025 12:00:00 AM,STRUCTURE,0
